Age,primaryStreamingService,hoursPerDay,whileWorking,favGenre,Anxiety,Depression,Insomnia,OCD,musicEffects
18,Spotify,4,No,Video game music,7,7,10,2,noEffect
61,YouTube Music,2.5,Yes,Jazz,9,7,3,3,Improve
18,Spotify,4,Yes,R&B,7,2,5,9,Improve
18,Spotify,5,Yes,Jazz,8,8,7,7,Improve
18,YouTube Music,3,Yes,Video game music,4,8,6,0,Improve
21,Spotify,1,Yes,K pop,5,3,5,3,Improve
19,Spotify,6,Yes,Rock,2,0,0,0,Improve
18,I do not use a streaming service.,1,Yes,R&B,2,2,5,1,Improve
18,Spotify,3,Yes,Country,7,7,4,7,noEffect
19,YouTube Music,8,Yes,EDM,1,0,0,1,Improve
19,Spotify,2,Yes,Country,2,1,2,0,Improve
18,Spotify,4,Yes,Jazz,6,4,7,0,Improve
17,Spotify,2,No,Pop,7,5,4,1,Worsen
16,Spotify,8,Yes,Hip hop,8,8,4,3,Improve
16,Spotify,12,Yes,Hip hop,5,7,10,0,Improve
17,Spotify,24,Yes,Rap,7,5,0,3,Improve
15,Spotify,3,No,Hip hop,7,3,0,2,Improve
15,Apple Music,8,Yes,Hip hop,6,9,3,0,Improve
17,Spotify,4,Yes,Rap,10,10,2,4,Improve
19,I do not use a streaming service.,5,Yes,R&B,6,7,5,4,Improve
18,Spotify,2,Yes,Pop,3,3,8,6,noEffect
16,Other streaming service,3,Yes,Rock,10,6,8,10,Improve
18,Spotify,2,No,Pop,7,4,2,5,Improve
14,Spotify,12,Yes,Rock,8,6,10,5,Improve
18,YouTube Music,6,Yes,Pop,3,2,1,2,Improve
17,Spotify,2,Yes,Pop,6,6,4,5,Improve
17,Apple Music,1,Yes,Pop,8,2,1,5,Improve
20,Apple Music,5,Yes,Rock,7,7,2,0,Improve
19,Spotify,2,Yes,Classical,4,4,4,3,noEffect
19,Spotify,6,Yes,Metal,9,8,2,3,Improve
17,Spotify,4,No,Rock,5,6,6,1,Improve
16,Spotify,1,Yes,Classical,0,0,0,0,noEffect
18,Spotify,5,Yes,Pop,3,2,1,1,Improve
21,Spotify,4,Yes,Pop,6,8,0,2,Improve
17,Other streaming service,3,Yes,Pop,2,0,4,0,noEffect
26,Other streaming service,0.5,No,Rock,9,8,1,0,noEffect
20,Spotify,4,Yes,EDM,7,2,8,6,Improve
23,YouTube Music,2,Yes,Video game music,4,2,3,4,Improve
18,Spotify,5,Yes,Rock,7,6,5,0,Improve
37,YouTube Music,0.25,No,Video game music,3,2,10,0,noEffect
